indel_size	fq
-96	10
-95	0
-94	0
-93	0
-92	0
-91	0
-90	0
-89	0
-88	0
-87	0
-86	0
-85	6
-84	0
-83	0
-82	0
-81	0
-80	0
-79	0
-78	0
-77	0
-76	0
-75	0
-74	0
-73	0
-72	0
-71	0
-70	0
-69	0
-68	0
-67	0
-66	0
-65	0
-64	0
-63	0
-62	0
-61	0
-60	0
-59	0
-58	0
-57	0
-56	0
-55	0
-54	0
-53	0
-52	0
-51	0
-50	0
-49	0
-48	0
-47	0
-46	0
-45	0
-44	0
-43	0
-42	0
-41	0
-40	0
-39	0
-38	0
-37	0
-36	0
-35	0
-34	0
-33	2
-32	0
-31	0
-30	0
-29	0
-28	0
-27	0
-26	0
-25	0
-24	2
-23	0
-22	2
-21	0
-20	0
-19	0
-18	0
-17	5
-16	0
-15	0
-14	10
-13	90
-12	3
-11	19
-10	4
-9	43
-8	4
-7	0
-6	9
-5	6
-4	15
-3	140
-2	4
-1	26
0	257968
1	6
2	3
3	5
4	54
5	0
6	11
7	0
8	2
9	8
10	0
11	2
12	9
13	1
14	0
15	0
16	3
17	1
18	1
19	2
20	178
21	1764
22	136
23	1
