# amplicon position	effect
1	0.000000000000000000e+00
2	0.000000000000000000e+00
3	0.000000000000000000e+00
4	0.000000000000000000e+00
5	0.000000000000000000e+00
6	0.000000000000000000e+00
7	0.000000000000000000e+00
8	0.000000000000000000e+00
9	0.000000000000000000e+00
10	0.000000000000000000e+00
11	0.000000000000000000e+00
12	0.000000000000000000e+00
13	0.000000000000000000e+00
14	0.000000000000000000e+00
15	0.000000000000000000e+00
16	0.000000000000000000e+00
17	0.000000000000000000e+00
18	0.000000000000000000e+00
19	0.000000000000000000e+00
20	0.000000000000000000e+00
21	0.000000000000000000e+00
22	0.000000000000000000e+00
23	0.000000000000000000e+00
24	0.000000000000000000e+00
25	0.000000000000000000e+00
26	0.000000000000000000e+00
27	0.000000000000000000e+00
28	0.000000000000000000e+00
29	0.000000000000000000e+00
30	0.000000000000000000e+00
31	0.000000000000000000e+00
32	0.000000000000000000e+00
33	0.000000000000000000e+00
34	0.000000000000000000e+00
35	0.000000000000000000e+00
36	0.000000000000000000e+00
37	0.000000000000000000e+00
38	0.000000000000000000e+00
39	0.000000000000000000e+00
40	0.000000000000000000e+00
41	0.000000000000000000e+00
42	0.000000000000000000e+00
43	0.000000000000000000e+00
44	0.000000000000000000e+00
45	0.000000000000000000e+00
46	0.000000000000000000e+00
47	0.000000000000000000e+00
48	0.000000000000000000e+00
49	0.000000000000000000e+00
50	0.000000000000000000e+00
51	0.000000000000000000e+00
52	0.000000000000000000e+00
53	0.000000000000000000e+00
54	1.824928523632824351e-03
55	1.824928523632824351e-03
56	1.824928523632824351e-03
57	1.824928523632824351e-03
58	1.824928523632824351e-03
59	1.824928523632824351e-03
60	1.824928523632824351e-03
61	1.824928523632824351e-03
62	1.824928523632824351e-03
63	1.824928523632824351e-03
64	1.824928523632824351e-03
65	1.824928523632824351e-03
66	1.824928523632824351e-03
67	1.824928523632824351e-03
68	1.824928523632824351e-03
69	1.824928523632824351e-03
70	1.824928523632824351e-03
71	1.824928523632824351e-03
72	1.824928523632824351e-03
73	1.824928523632824351e-03
74	1.824928523632824351e-03
75	1.824928523632824351e-03
76	1.824928523632824351e-03
77	1.824928523632824351e-03
78	1.824928523632824351e-03
79	1.824928523632824351e-03
80	1.824928523632824351e-03
81	1.824928523632824351e-03
82	1.824928523632824351e-03
83	1.824928523632824351e-03
84	1.824928523632824351e-03
85	3.345702293326844896e-03
86	3.345702293326844896e-03
87	3.345702293326844896e-03
88	1.247034491149096730e-02
89	1.247034491149096730e-02
90	1.277449966542977024e-02
91	1.338280917330737958e-02
92	1.338280917330737958e-02
93	1.368696392724618252e-02
94	1.368696392724618252e-02
95	1.368696392724618252e-02
96	1.490358294300139948e-02
97	1.672851146663422231e-02
98	1.672851146663422231e-02
99	1.672851146663422231e-02
100	1.672851146663422231e-02
101	1.610195267352028781e+00
102	1.609891112598089924e+00
103	1.608674493582334719e+00
104	1.607457874566579514e+00
105	1.607457874566579514e+00
106	1.606849565058701801e+00
107	1.581908875235719991e+00
108	1.581908875235719991e+00
109	1.581908875235719991e+00
110	1.579779791958148216e+00
111	1.579779791958148216e+00
112	1.579171482450270725e+00
113	1.577650708680576663e+00
114	1.577650708680576663e+00
115	1.575521625403005110e+00
116	1.573696696879372192e+00
117	1.567005292292718455e+00
