# amplicon position	effect
1	0.000000000000000000e+00
2	0.000000000000000000e+00
3	0.000000000000000000e+00
4	0.000000000000000000e+00
5	0.000000000000000000e+00
6	0.000000000000000000e+00
7	0.000000000000000000e+00
8	0.000000000000000000e+00
9	0.000000000000000000e+00
10	0.000000000000000000e+00
11	0.000000000000000000e+00
12	0.000000000000000000e+00
13	0.000000000000000000e+00
14	0.000000000000000000e+00
15	0.000000000000000000e+00
16	0.000000000000000000e+00
17	0.000000000000000000e+00
18	0.000000000000000000e+00
19	0.000000000000000000e+00
20	0.000000000000000000e+00
21	0.000000000000000000e+00
22	0.000000000000000000e+00
23	0.000000000000000000e+00
24	0.000000000000000000e+00
25	0.000000000000000000e+00
26	0.000000000000000000e+00
27	0.000000000000000000e+00
28	0.000000000000000000e+00
29	0.000000000000000000e+00
30	0.000000000000000000e+00
31	0.000000000000000000e+00
32	0.000000000000000000e+00
33	0.000000000000000000e+00
34	0.000000000000000000e+00
35	0.000000000000000000e+00
36	0.000000000000000000e+00
37	0.000000000000000000e+00
38	0.000000000000000000e+00
39	0.000000000000000000e+00
40	0.000000000000000000e+00
41	2.302776764982441410e-03
42	2.302776764982441410e-03
43	2.302776764982441410e-03
44	2.302776764982441410e-03
45	2.302776764982441410e-03
46	2.302776764982441410e-03
47	2.302776764982441410e-03
48	2.302776764982441410e-03
49	2.302776764982441410e-03
50	2.302776764982441410e-03
51	2.302776764982441410e-03
52	2.302776764982441410e-03
53	2.302776764982441410e-03
54	2.302776764982441410e-03
55	2.302776764982441410e-03
56	2.302776764982441410e-03
57	2.302776764982441410e-03
58	6.140738039953176804e-03
59	6.140738039953176804e-03
60	6.140738039953176804e-03
61	6.140738039953176804e-03
62	6.140738039953176804e-03
63	6.140738039953176804e-03
64	6.140738039953176804e-03
65	6.140738039953176804e-03
66	6.140738039953176804e-03
67	6.140738039953176804e-03
68	6.140738039953176804e-03
69	6.140738039953176804e-03
70	6.140738039953176804e-03
71	6.908330294947324229e-03
72	6.908330294947324229e-03
73	6.908330294947324229e-03
74	6.908330294947324229e-03
75	6.908330294947324229e-03
76	6.908330294947324229e-03
77	6.908330294947324229e-03
78	6.908330294947324229e-03
79	6.908330294947324229e-03
80	6.908330294947324229e-03
81	6.908330294947324229e-03
82	6.908330294947324229e-03
83	6.908330294947324229e-03
84	7.675922549941470788e-03
85	7.675922549941470788e-03
86	7.675922549941470788e-03
87	7.675922549941470788e-03
88	4.221757402467809367e-02
89	4.221757402467809367e-02
90	4.221757402467809367e-02
91	4.336896240716930917e-02
92	4.989349657461956272e-02
93	5.066108882961371102e-02
94	5.066108882961371102e-02
95	6.754811843948493877e-02
96	6.754811843948493877e-02
97	6.908330294947323535e-02
98	6.985089520446738365e-02
99	7.138607971445568023e-02
100	1.141409683176296763e+00
101	2.966360269424881402e+00
102	1.043925466792040013e-01
103	1.040087505517069272e-01
104	3.377405921974246938e-02
105	2.763332117978929692e-02
106	1.957360250235075025e-02
107	1.688702960987123469e-02
108	1.650323348237416402e-02
109	1.420045671739172087e-02
110	1.420045671739172087e-02
111	1.420045671739172087e-02
112	6.908330294947324229e-03
113	6.908330294947324229e-03
114	6.908330294947324229e-03
115	6.524534167450250083e-03
116	6.524534167450250083e-03
117	6.524534167450250083e-03
